Sample	posterior	likelihood	prior	treeLikelihood.h3n2_2deme	treeHeight.t:h3n2_2deme	treeLength.t:h3n2_2deme	Tree.t:h3n2_2deme.length_HongKong	Tree.t:h3n2_2deme.length_NewZealand	Tree.t:h3n2_2deme.count_HongKong_to_NewZealand	Tree.t:h3n2_2deme.count_NewZealand_to_HongKong	Tree.t:h3n2_2deme.count_HongKong	Tree.t:h3n2_2deme.count_NewZealand	rootTypeLogger.t:h3n2_2deme	migModel.t:h3n2_2deme.popSizeScaleFactor	migModel.t:h3n2_2deme.popSize_HongKong	migModel.t:h3n2_2deme.popSize_NewZealand	migModel.t:h3n2_2deme.rateMatrixScaleFactor	migModel.t:h3n2_2deme.rateMatrix_backward_HongKong_NewZealand	migModel.t:h3n2_2deme.rateMatrix_backward_NewZealand_HongKong	migModel.t:h3n2_2deme.rateMatrix_forward_HongKong_NewZealand	migModel.t:h3n2_2deme.rateMatrix_forward_NewZealand_HongKong	clockRate.c:h3n2_2deme	gammaShape.s:h3n2_2deme	kappa.s:h3n2_2deme	freqParameter.s:h3n2_2deme.1	freqParameter.s:h3n2_2deme.2	freqParameter.s:h3n2_2deme.3	freqParameter.s:h3n2_2deme.4
0	-7482.0776239442	-7368.72832448563	-113.34929945857053	-7368.72832448563	8.902786080806955	48.94044664741749	25.45130354101623	23.489143106401265	24	24	29	30	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.005	1.0	2.0	0.25	0.25	0.25	0.25
1000	-6429.936619958748	-6264.68067437937	-165.25594557937782	-6264.68067437937	7.036685544207303	57.77722174277419	31.087005125307712	26.690216617466458	27	33	35	24	0	1.0	1.3163675758379498	1.340423968100386	1.0	1.1136014639357414	1.1392675821921414	1.1600875023665238	1.0936158218717411	0.007672716384999959	0.27093370658936045	2.0	0.25	0.25	0.25	0.25
2000	-5847.689549436499	-5688.378819308493	-159.31073012800587	-5688.378819308493	6.791733445495394	57.34763747434693	32.97379961899616	24.37383785535078	31	39	37	22	0	1.0	1.5472145820239231	1.5619322355532046	1.0	0.7642811295364869	1.487761618145155	1.5019137340083475	0.7570795207807127	0.006252109055308248	0.16161398759604786	2.0	0.25	0.25	0.25	0.25
3000	-5498.4630425728465	-5340.394030343528	-158.06901222931842	-5340.394030343528	7.178143007665235	58.523867295331264	32.62994096027673	25.89392633505453	31	40	39	20	1	1.0	1.6470920265032718	2.6781104745773527	1.0	0.7482289340471912	1.2725441613814505	2.0691095537588327	0.46017590497743116	0.004810669596975554	0.15261805612124646	4.1272674717152995	0.2694658776454276	0.13889074547304447	0.2552446059859917	0.3363987708955362
4000	-5344.1889943951555	-5177.035749324672	-167.15324507048342	-5177.035749324672	7.7171850706457095	59.6678939734461	29.235715472055297	30.432178501390794	25	31	36	23	1	1.0	2.6279719823392824	3.4530507416791734	1.0	0.9148176706226572	0.976145611105138	1.2826165381767367	0.6962293308716742	0.0040703595890558344	0.15261805612124646	4.1272674717152995	0.2694658776454276	0.13889074547304447	0.2552446059859917	0.3363987708955362
5000	-5242.260657119801	-5079.95186080024	-162.30879631956086	-5079.95186080024	7.293528218293277	61.34347674212229	29.841512531579347	31.50196421054295	16	24	37	22	0	1.0	1.8841349042385054	3.4066210443705462	1.0	0.8286240107941988	0.8414060784892156	1.5213091416090112	0.45829559580963897	0.0038002664522002734	0.15261805612124646	4.1272674717152995	0.2694658776454276	0.13889074547304447	0.2552446059859917	0.3363987708955362
6000	-5123.977145086087	-4963.913574002355	-160.06357108373254	-4963.913574002355	7.162144935767409	60.7808431539653	30.247297542123142	30.53354561184214	13	22	38	21	0	1.0	1.624682383235819	3.9285111885905004	1.0	0.8439928410745259	0.9877867561065082	2.3884861209470523	0.34904324682931775	0.003684246980107542	0.15261805612124646	4.1272674717152995	0.2694658776454276	0.13889074547304447	0.2552446059859917	0.3363987708955362
7000	-5054.388782409522	-4890.921750821766	-163.46703158775605	-4890.921750821766	7.176422102049535	60.88516937231365	29.145528509409857	31.739640862903805	20	26	35	24	0	1.0	1.7654494792744575	3.5736110767738825	1.0	0.854953731256115	1.0527517265325166	2.1309730327573813	0.42236762401477396	0.0037195896246875184	0.15261805612124646	4.1272674717152995	0.2694658776454276	0.13889074547304447	0.2552446059859917	0.3363987708955362
8000	-5002.338294114258	-4840.753440884309	-161.58485322994872	-4840.753440884309	7.120417290340154	60.56870548505044	31.31826089168898	29.250444593361458	24	36	41	18	0	1.0	1.347645685413424	3.563995987173942	1.0	0.8979008975221854	1.4443917359733702	3.8198514688503433	0.3395212213564025	0.0032094399040860015	0.11805630497853548	4.1272674717152995	0.2694658776454276	0.13889074547304447	0.2552446059859917	0.3363987708955362
9000	-4957.246111176717	-4796.048637771651	-161.19747340506603	-4796.048637771651	7.198290179474727	59.08267284789505	32.487322701204754	26.595350146690294	26	36	39	20	0	1.0	1.7489426506832424	2.1462371809212364	1.0	0.7518689345607561	1.0888660363838991	1.3362157823851462	0.612688876637876	0.003142758348031875	0.11805630497853548	4.1272674717152995	0.2694658776454276	0.13889074547304447	0.2552446059859917	0.3363987708955362
10000	-4906.032936168123	-4750.147234658148	-155.88570150997603	-4750.147234658148	7.69745982522222	58.78304754405833	31.999165575615127	26.783881968443204	19	26	37	22	1	1.0	2.0622312016124327	2.341484754365478	1.0	0.8224212027336492	0.9509127411570876	1.07967898284649	0.7243364117502284	0.0028131555641407176	0.11805630497853548	4.1272674717152995	0.26530281153571605	0.1481874486666205	0.2552446059859917	0.3312651338116718
